gamePk,gameDate,playId,pitchNum,pitcherId,pitcherName,batterId,batterName,pitchSpeed,spinRate,pitchTypeDescription,pitchTypeCode,headshotUrl
777156,7/10/2025,4212d572-3646-3fd4-af5b-1e0699eace27,4,695243,Mason Miller,669221,Sean Murphy,104.1,2689,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/695243/headshot/67/current"
778018,5/7/2025,0e30dcdd-1987-358a-9bed-faa9dc91ca17,3,547973,Aroldis Chapman,688760,Blaine Crim,103.8,2454,Sinker,SI,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/547973/headshot/67/current"
777133,7/12/2025,fea2a765-61c4-3c6e-94d9-114a4f80da2a,4,664854,Ryan Helsley,595777,Jurickson Profar,103.4,2679,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/664854/headshot/67/current"
777264,7/3/2025,665d49a8-1632-318e-bef4-8fa16f9446b9,4,678020,Seth Halvorsen,605170,Victor Caratini,103.3,2443,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/678020/headshot/67/current"
778495,4/1/2025,f7a9e6c6-14bc-3f39-95d8-ab422a80e2d8,0,690829,Ben Joyce,571448,Nolan Arenado,103.2,2312,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/690829/headshot/67/current"
778108,5/1/2025,c81bc380-e579-3552-9679-d838daab1e8c,5,661395,Jhoan Duran,678877,Jhonkensy Noel,102.7,2109,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/661395/headshot/67/current"
777780,5/25/2025,ab8077ea-ccff-3eac-aa1c-48a75a5f0e78,3,669373,Tarik Skubal,672356,Gabriel Arias,102.6,2442,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/669373/headshot/67/current"
777039,7/22/2025,624f35ae-ea41-3dad-9d41-5c224253577b,0,683618,Edgardo Henriquez,543877,Christian VÃ¡zquez,102.5,2455,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/683618/headshot/67/current"
777142,7/12/2025,f7fd4990-dc8d-3cf1-b953-6175d8be0b5e,5,694037,Daniel Palencia,663757,Trent Grisham,102.5,2414,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/694037/headshot/67/current"
778532,3/29/2025,5d71ae4a-8380-3f84-b2fa-19d4c04b4bcc,0,679885,Justin Martinez,807713,Matt Shaw,102.4,2104,Sinker,SI,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/679885/headshot/67/current"
