gamePk,gameDate,playId,pitchNum,pitcherId,pitcherName,batterId,batterName,pitchSpeed,spinRate,pitchTypeDescription,pitchTypeCode,headshotUrl
776852,2025-08-05,2ee258b1-7e3b-3872-962c-2312a63eafd0,2,695243,Mason Miller,682988,Tyler Locklear,104.2,2594.0,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/695243/headshot/67/current"
778018,2025-05-07,0e30dcdd-1987-358a-9bed-faa9dc91ca17,3,547973,Aroldis Chapman,688760,Blaine Crim,103.8,2454.0,Sinker,SI,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/547973/headshot/67/current"
776817,2025-08-09,33c23eca-07be-365c-ab38-9b9af6322415,5,664854,Ryan Helsley,686555,Isaac Collins,103.8,2586.0,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/664854/headshot/67/current"
777264,2025-07-03,665d49a8-1632-318e-bef4-8fa16f9446b9,4,678020,Seth Halvorsen,605170,Victor Caratini,103.3,2443.0,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/678020/headshot/67/current"
776890,2025-08-03,038fef27-aec5-3054-bec7-d2fd9ce50356,4,661395,Jhoan Duran,682985,Riley Greene,103.3,2257.0,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/661395/headshot/67/current"
776717,2025-08-16,1643f8d0-3f01-3d0a-9a00-50ad7fd6411d,3,683618,Edgardo Henriquez,656811,Ryan O'Hearn,103.3,2528.0,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/683618/headshot/67/current"
778495,2025-04-01,f7a9e6c6-14bc-3f39-95d8-ab422a80e2d8,0,690829,Ben Joyce,571448,Nolan Arenado,103.2,2312.0,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/690829/headshot/67/current"
776153,2025-09-27,372f4827-2486-328a-972f-35458f1188db,3,694819,Jacob Misiorowski,663647,Ke'Bryan Hayes,102.6,2756.0,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/694819/headshot/67/current"
777780,2025-05-25,ab8077ea-ccff-3eac-aa1c-48a75a5f0e78,3,669373,Tarik Skubal,672356,Gabriel Arias,102.6,2442.0,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/669373/headshot/67/current"
777142,2025-07-12,f7fd4990-dc8d-3cf1-b953-6175d8be0b5e,5,694037,Daniel Palencia,663757,Trent Grisham,102.5,2414.0,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/694037/headshot/67/current"
778532,2025-03-29,5d71ae4a-8380-3f84-b2fa-19d4c04b4bcc,0,679885,Justin Martinez,807713,Matt Shaw,102.4,2104.0,Sinker,SI,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/679885/headshot/67/current"
778493,2025-04-01,dec75af7-4c51-3e02-9eb7-8404154543d5,4,682254,Mason Montgomery,663698,Joey Bart,102.2,2347.0,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/682254/headshot/67/current"
776594,2025-08-25,bb07f324-f02c-380d-8564-76f02eb8024d,5,668881,Hunter Greene,660271,Shohei Ohtani,102.2,2585.0,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/668881/headshot/67/current"
777408,2025-06-22,9776b6e8-7295-323b-9351-3a5f2d0b2457,3,691799,Grant Taylor,680718,Addison Barger,102.2,2510.0,Four-Seam Fastball,FF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/691799/headshot/67/current"
776642,2025-08-21,6ae0b100-ab64-3d65-b902-4a0f9fdc0d81,0,666711,Joel Peguero,650333,Luis Arraez,102.1,2388.0,Sinker,SI,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/666711/headshot/67/current"
777979,2025-05-10,5a30441b-fd66-319e-9c5a-8082ad8ab155,2,682825,Luis Mey,663898,Brendan Rodgers,102.1,2354.0,Sinker,SI,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/682825/headshot/67/current"
777944,2025-05-13,f4521c9f-35a4-34b8-b996-d57f66726149,1,661403,Emmanuel Clase,592885,Christian Yelich,102.0,2648.0,Cutter,FC,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/661403/headshot/67/current"
